Row Labels,Count of Company_Name,,,
Australia,5,,Australia,5
Austria,3,,Austria,3
Belgium,3,,Belgium,3
Brazil,3,,Brazil,3
Canada,5,,Canada,5
China,3,,China,3
Denmark,3,,Denmark,3
Finland,3,,Finland,3
France,5,,France,5
Germany,5,,Germany,5
India,4,,India,4
Ireland,3,,Ireland,3
Italy,3,,Italy,3
Japan,3,,Japan,3
Mexico,3,,Mexico,3
Netherlands,3,,Netherlands,3
New Zealand,3,,New Zealand,3
Norway,3,,Norway,3
Portugal,3,,Portugal,3
Russia,3,,Russia,3
Singapore,3,,Singapore,3
South Africa,3,,South Africa,3
South Korea,3,,South Korea,3
Spain,3,,Spain,3
Sweden,3,,Sweden,3
Switzerland,3,,Switzerland,3
UAE,3,,UAE,3
UK,5,,UK,5
USA,5,,USA,5
(blank),,,,
