Sum of HR_Interview_Score,Column Labels,,,,,,,,,,,
Row Labels,Amazon,Apple,Cisco,Facebook,Google,IBM,Intel,Microsoft,Oracle,Tesla,(blank),Grand Total
B.Com,,147,71,159,,,,159,96,106,,738
B.Sc,,,57,93,67,,90,79,169,90,,645
B.Tech,,62,111,,,78,148,67,83,61,,610
BBA,65,74,,238,71,55,125,51,,90,,769
BCA,171,75,,,88,,71,125,,92,,622
M.Sc,,,105,,66,66,72,55,,,,364
M.Tech,,170,62,156,177,,91,84,95,89,,924
MBA,92,157,159,89,,,70,153,,140,,860
MCA,95,89,,69,218,87,,176,56,237,,1027
Ph.D,195,,118,,72,124,141,158,,77,,885
(blank),,,,,,,,,,,,
Grand Total,618,774,683,804,759,410,808,1107,499,982,,7444
